Customer,counts
TYSON FOODS,1
TOM RAGLAND,1
TOYOTA PROLIFT,1
PACKAGING CORP.OF AMERICA,1
USA EXPRESS,1
P&R TRUCKING,1
TOWNSEND TREE SERVICE,1
TRI-UNION,1
PK TRUCK LINE,1
PLATINUM TOWING,1
WERNER ENTERPRISES---N/A,1
PEGASUS INDUSTRIES LLC,1
XLR8,1
WIGGAM LUMBER INC,1
YANI TRANSPORTATION,1
PHILLIPS HARDY INC,1
PARKS PLUMBING SVCS.,1
"PIKE ELECTRIC, INC",1
WONDER TRANSPORT,1
WALTER PAYTON POWER EQUIP,1
YOUNG TRUCKING,1
PADUCAH-LVILLE RAILWAY,1
UZB FREIGHT,1
USHER/OWNER-OPERATOR,1
PADUCAH & LOUISVILLE RAIL,1
TMC TRANSPORTATION,1
RJ HAULING,1
TMC CRANES,1
REPUBLIC NATIONAL DISTRIB,1
STEP COMPANY,1
RAYMOND MATNEY,1
STEEL TRANSPORT,1
STAR LEASING,1
SRS DISTRIBUTION,1
"RELIABLE EXPRESS, INC.",1
SPENCER CONCRETE SERVICE,1
REMARKABLE MOVING,1
SOUNDS OF WATER,1
SMITH CREEK INC,1
SHELBY DIESEL & MACH REP,1
TJB,1
"REPUBLIC SERVICES, INC. 3077",1
RICHARD MCCLARD,1
RICKSHIR FOREST,1
ON SITE FLEET SERVICE,1
RIGHTEOUS PATH AUTO,1
SERVICE TRANSPORT,1
SERCO MANAGEMENT SERVICES,1
SANTIAGO / PATHWAY,1
SANGHA TRANS. LLC,1
ROLLET BROTHERS TRUCKING,1
STEVE RUTHERFORD,1
RANDY WOLFE,1
STONE CONCRETE,1
RAJ TRANSPORTATION,1
TITAN TRANSFER,1
PRIME ONE,1
TIDEWATER TRANSIT,1
THYME IT,1
PROFICIENT AUTO TRANSPORT,1
PROFICIENT AUTO TRASPORT,1
THORNTON OIL CORPORATION,1
THIENEMAN CONCRETE WALL,1
THE YARD LLC,1
PROLIFT TOYOTA MAT HANDLI,1
QUARRY HILL FARMS INC,1
TAYLOR TRUCK LINES,1
QUICK SUPPLY CO,1
R & R SEPTIC & EXCAVATING,1
TAVUS TRANSPORT,1
R J TRUCKING,1
SUPERIOR TRANSPORTATION,1
SUNBELT RENTALS - CLARKS,1
R S LOGISTICS,1
RAB LOGISTICS,1
RABWAH LOGISTICS,1
"P & L EXPRESS, INC",1
2 BROTHERS TOWING & RECOVERY,1
OMARA DAVE,1
CURRAN BLDG.SOLUTIONS LLC.,1
CLARK COUNTY HIGHWAY DEPT,1
CLARK FARMS,1
CLARK-FLOYD LANDFILL LLC,1
COBB TRUCKING,1
COLEMAN SERVICES,1
COLUMBUS TRANSPORT,1
COMPLETE METAL FABRICATIO,1
CONTAINER PORT GROUP,1
CONTINENTAL RECYCLING,1
COPART INC,1
CORNERSTONE FAMILY FARMS,1
COUNTY WIDE WASTE,1
CROSS COUNTRY DISTRIBUTIN,1
CUMMINS INC,1
CURRY TREE SVC.,1
CHRIS WHITE,1
DALLAS HARDY,1
DAN CROSBY,1
DAROB INC,1
DAVID E. BLOCKER,1
DGI TRUCKING,1
DISTRIBUTOR SERVICE INC,1
DREAM EXPRESS,1
EAGLE LOGISTICS,1
EARTH WORKS LLC,1
ENERGY TRUCKING,1
EVAN'S DELIVERY CO.,1
EXCEL EQUINE,1
FED EX CUSTOM CRITICAL IN,1
FINE LINE TRANSPORTATION,1
CHRISTOPHER JACKSON FARMS,1
CAMPBELL CONCRETE INC,1
O&D TRUCKING,1
BIG M TRANSPORTATION,1
ABSOLUTE WELDING,1
ALLEN ELECTRICAL,1
AMA LOGISTICS,1
AMENT TRUCKING,1
ARI-SUBURBAN PROPANE/D,1
ARKA EXPRESS,1
ARNOLD FARMS,1
B & K,1
BAKELITE LLC,1
BEST-ONE BOWLING GREEN,1
BEST-ONE INDY,1
BEST-ONE LIMA,1
BEST-ONE MID AMERICA,1
BHD,1
BIG MEADOWS OIL,1
CALIN,1
BILL BURNETT,1
BILL NEAFUS CUSTOM POOLS,1
BLACK BOX DUMPSTER,1
BOI,1
BOSNIA EXPRESS,1
BOYD CAT JEFFERSONTOWN,1
BOYD CAT SUPPLY,1
BOYD GRAIN,1
BOYD/CAT JEFFERSONVILLE,1
BRR LOGISTICS,1
BRUCE FOX,1
BT TRUCKING,1
BUD COLEY TRUCKING,1
C3 LOGISTICS,1
FIRST EXPRESS,1
FOREMOST TRANSPORT,1
FOX ENTERPRISES,1
MCMAHON TRUCK TIRE CENTER,1
KEVIN HOEVENER FARMS,1
KNIGHT TRUCKING,1
KNOWLES TRUCK SERVICE,1
"LANDAIR TRANSPORT, INC.",1
LARRY BLACKWELL,1
LEGENDARY TRUCKING,1
LEON TRANSPORT,1
LOSSON EXCAVATING & SEPTIC,1
LOUISVILLE SWITCHING SERV,1
M & M TRUCKING,1
M&M DRYWALL,1
MATHES DRILLING SVC,1
MCKENNON HAULING,1
MCMAHON TIRE,1
MCS TRANSPORT LLC,1
FRANCO TRUCKING INC,1
"MEADE EQUIPMENT, LLC",1
MI COSTENITA,1
MIDOS TRUCKING LLC,1
"MIDWEST GYM SUPPLY,INC",1
MIKE LINDSEY,1
MILLER PIPELINE,1
MISTER P EXPRESS INC.,1
NEW ALBANY STORMWATER DEP,1
NEWTON LLC,1
NIKO ALEXDRU,1
NOEL TRUCKING,1
"NORSTAM VENEERS, INC.",1
NORTH STAR PAINTING CO INC,1
O & I TRANSPORT,1
KENWORTH OF LOUISVILLE,1
"KAMPS,INC",1
K-I LUMBER CO/ ARI,1
JOSH PRIMEAUX,1
G & S EXPRESS,1
G MARSHALL HAULING,1
G&I SOLUTIONS,1
GABRIELLI TRUCK SALES,1
GLOBE INDUSTRIAL LLC,1
GOTTA GO DUMPSTER SVC LLC,1
GREENTREE REAL-ESTATE,1
GREENWORKS,1
GREG COATES,1
GRIM INDUSTRIAL,1
GTR,1
"HAAS CARRIAGE, INC.",1
HALL CONTRACTING OF KENTU,1
HAMHED LLC,1
HEDRICK TRUCKING,1
HIGHWAY PAVING,1
HUGH RODRIGUEZ,1
HYDRA TRANS OF LOUISVILLE,1
IDEAL TRANS,1
IDEMITSU LUBRICANTS,1
INDEPENDENT STAVE COMPANY,1
INTERSTATE FREIGHT,1
J & J DRYWALL,1
JACOB NOWLIN,1
JACOBI SALES INC,1
"JAM BEST-ONE NORTHWOOD, OH",1
JAN WRIGHT,1
JECKER EXCAVATNG & SEPTIC,1
JOHN HAGER TRANSPORT,1
KAPLAN TRUCKING,1
